image,domain,num_detections,mean_confidence,latency_sec
000035.png,deblurred,1,0.29298698902130127,0.00921773910522461
000035.png,sharp,3,0.7432788213094076,0.008672237396240234
000036.png,blurred,2,0.4841940253973007,0.014765739440917969
000036.png,deblurred,1,0.3031123876571655,0.009649515151977539
000036.png,sharp,6,0.5867782334486643,0.009053230285644531
000037.png,blurred,2,0.6372309327125549,0.010040283203125
000037.png,deblurred,0,0.0,0.008145809173583984
000037.png,sharp,6,0.5557786375284195,0.008686542510986328
000038.png,blurred,3,0.6942985852559408,0.009674787521362305
000038.png,deblurred,0,0.0,0.008462667465209961
000038.png,sharp,6,0.5754225899775823,0.008803367614746094
000039.png,blurred,8,0.512580644339323,0.009856939315795898
000039.png,deblurred,0,0.0,0.00848531723022461
000039.png,sharp,7,0.5662147104740143,0.00860452651977539
000040.png,blurred,4,0.6361290365457535,0.013657331466674805
000040.png,deblurred,0,0.0,0.008469104766845703
000040.png,sharp,6,0.6370345503091812,0.008982181549072266
000041.png,blurred,4,0.7007692605257034,0.009971141815185547
000041.png,deblurred,1,0.5195904970169067,0.008667707443237305
000041.png,sharp,8,0.5320988185703754,0.008589506149291992
000042.png,blurred,5,0.6366291642189026,0.009756803512573242
000042.png,deblurred,2,0.41555429995059967,0.008791923522949219
000042.png,sharp,6,0.6048063884178797,0.008524894714355469
000043.png,blurred,4,0.4916778653860092,0.009677648544311523
000043.png,deblurred,0,0.0,0.008222341537475586
000043.png,sharp,6,0.630024308959643,0.008779525756835938
000044.png,blurred,3,0.561874657869339,0.009998559951782227
000044.png,deblurred,2,0.31298524141311646,0.013060808181762695
000044.png,sharp,4,0.733866423368454,0.014754533767700195
000045.png,blurred,2,0.5110623836517334,0.010892868041992188
000045.png,deblurred,1,0.3947775363922119,0.009838104248046875
000045.png,sharp,7,0.5630156057221549,0.00975179672241211
000046.png,blurred,2,0.5947842746973038,0.009495735168457031
000046.png,deblurred,1,0.6316240429878235,0.008692026138305664
000046.png,sharp,5,0.5653870403766632,0.008567094802856445
000047.png,blurred,1,0.585780680179596,0.010032892227172852
000047.png,deblurred,1,0.6470350027084351,0.008898735046386719
000047.png,sharp,5,0.549588406085968,0.018502235412597656
000048.png,blurred,3,0.3594481249650319,0.014521598815917969
000048.png,deblurred,0,0.0,0.014694690704345703
000048.png,sharp,3,0.7205879886945089,0.010777711868286133
000049.png,blurred,1,0.6469938158988953,0.010015726089477539
000049.png,deblurred,1,0.2565477788448334,0.00911855697631836
000049.png,sharp,3,0.7091449499130249,0.009516239166259766
000050.png,blurred,5,0.5770006239414215,0.009832620620727539
000050.png,deblurred,1,0.34570494294166565,0.00891876220703125
000050.png,sharp,6,0.5484997282425562,0.008901834487915039
000051.png,blurred,5,0.51386279463768,0.014391422271728516
000051.png,deblurred,1,0.354903906583786,0.012983083724975586
000051.png,sharp,5,0.5814330279827118,0.012445449829101562
000052.png,blurred,2,0.8057728111743927,0.012438774108886719
000052.png,deblurred,0,0.0,0.010671854019165039
000052.png,sharp,6,0.578867624203364,0.010889530181884766
000053.png,blurred,3,0.42637990911801654,0.013931751251220703
000053.png,deblurred,0,0.0,0.010254621505737305
000053.png,sharp,7,0.5536147356033325,0.01118326187133789
000054.png,blurred,3,0.3575936257839203,0.01203155517578125
000054.png,deblurred,0,0.0,0.009819984436035156
000054.png,sharp,5,0.7397243738174438,0.010816097259521484
000055.png,blurred,4,0.640000194311142,0.012039422988891602
000055.png,deblurred,0,0.0,0.009974002838134766
000055.png,sharp,6,0.6437438527743021,0.010495424270629883
000056.png,blurred,6,0.47612301508585614,0.016096830368041992
000056.png,deblurred,0,0.0,0.012391090393066406
000056.png,sharp,6,0.6738643050193787,0.010824203491210938
000057.png,blurred,5,0.6380216181278229,0.015777111053466797
000057.png,deblurred,1,0.34740975499153137,0.014152288436889648
000057.png,sharp,6,0.6578989923000336,0.013305425643920898
000058.png,blurred,3,0.6324816346168518,0.009826183319091797
000058.png,deblurred,0,0.0,0.008088350296020508
000058.png,sharp,6,0.6874159375826517,0.00852060317993164
000059.png,blurred,5,0.38479185104370117,0.009892463684082031
000059.png,deblurred,1,0.25858059525489807,0.008733510971069336
000059.png,sharp,6,0.7060874054829279,0.008567571640014648
000060.png,blurred,2,0.8013208508491516,0.0375361442565918
000060.png,deblurred,0,0.0,0.017969131469726562
000060.png,sharp,8,0.5382858775556087,0.011230945587158203
000061.png,blurred,6,0.45482294758160907,0.010011911392211914
000061.png,deblurred,0,0.0,0.008395671844482422
000061.png,sharp,4,0.623186744749546,0.00865626335144043
000062.png,blurred,7,0.49106971280915396,0.010275840759277344
000062.png,deblurred,1,0.3966812789440155,0.008777379989624023
000062.png,sharp,6,0.530038982629776,0.009356975555419922
000063.png,blurred,5,0.6300822973251343,0.017487049102783203
000063.png,deblurred,0,0.0,0.008270025253295898
000063.png,sharp,5,0.6317101716995239,0.008703231811523438
000064.png,blurred,6,0.42742681006590527,0.009882926940917969
000064.png,deblurred,0,0.0,0.00816488265991211
000064.png,sharp,5,0.6222443342208862,0.008759021759033203
000065.png,blurred,4,0.5853799805045128,0.010169506072998047
000065.png,deblurred,0,0.0,0.008257627487182617
